Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Gundagai,1440
Persons Aged 15 Years and Over Place of Work,Junee,1827
Persons Aged 15 Years and Over Place of Work,Temora,2485
Persons Aged 15 Years and Over Place of Work,Wagga Wagga - East,6080
Persons Aged 15 Years and Over Place of Work,Wagga Wagga - North,2817
Persons Aged 15 Years and Over Place of Work,Wagga Wagga - South,3138
Persons Aged 15 Years and Over Place of Work,Wagga Wagga - West,15731
Persons Aged 15 Years and Over Place of Work,Wagga Wagga Region,4669
Persons Aged 15 Years and Over Place of Work,Berry - Kangaroo Valley,2796
Persons Aged 15 Years and Over Place of Work,Callala Bay - Currarong,392
Persons Aged 15 Years and Over Place of Work,Culburra Beach,799
Persons Aged 15 Years and Over Place of Work,Ettrema - Sassafras - Budawang,79
Persons Aged 15 Years and Over Place of Work,Huskisson - Vincentia,1827
Persons Aged 15 Years and Over Place of Work,North Nowra - Bomaderry,4116
Persons Aged 15 Years and Over Place of Work,Nowra,15066
Persons Aged 15 Years and Over Place of Work,St Georges Basin - Erowal Bay,1519
Persons Aged 15 Years and Over Place of Work,Sussex Inlet - Berrara,692
Persons Aged 15 Years and Over Place of Work,Tomerong - Wandandian - Woollamia,498
Persons Aged 15 Years and Over Place of Work,Ulladulla,5104
Persons Aged 15 Years and Over Place of Work,Ulladulla Region,724
Persons Aged 15 Years and Over Place of Work,Bowral,6291
Persons Aged 15 Years and Over Place of Work,Hill Top - Colo Vale,474
Persons Aged 15 Years and Over Place of Work,Mittagong,4218
Persons Aged 15 Years and Over Place of Work,Moss Vale - Berrima,4388
Persons Aged 15 Years and Over Place of Work,Robertson - Fitzroy Falls,931
Persons Aged 15 Years and Over Place of Work,Southern Highlands,1641
Persons Aged 15 Years and Over Place of Work,Baulkham Hills (East),4069
Persons Aged 15 Years and Over Place of Work,Baulkham Hills (West) - Bella Vista,23584
Persons Aged 15 Years and Over Place of Work,Glenhaven,865
Persons Aged 15 Years and Over Place of Work,West Pennant Hills,2675
Persons Aged 15 Years and Over Place of Work,Castle Hill - Central,8806
Persons Aged 15 Years and Over Place of Work,Castle Hill - East,1304
Persons Aged 15 Years and Over Place of Work,Castle Hill - North,5477
Persons Aged 15 Years and Over Place of Work,Castle Hill - South,2145
Persons Aged 15 Years and Over Place of Work,Castle Hill - West,469
Persons Aged 15 Years and Over Place of Work,Cherrybrook,2393
Persons Aged 15 Years and Over Place of Work,Kellyville,3634
Persons Aged 15 Years and Over Place of Work,Dural - Kenthurst - Wisemans Ferry,8434
Persons Aged 15 Years and Over Place of Work,Galston - Laughtondale,1694
Persons Aged 15 Years and Over Place of Work,Bilpin - Colo - St Albans,508
Persons Aged 15 Years and Over Place of Work,Kurrajong Heights - Ebenezer,3601
