INDP Industry of Employment,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
Main Statistical Area Structure (Main ASGS) (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erina - Green Point,0,3,0,0,0,7,0,0,0,0,0,3,24,63,0,10,35,0,12,0,15,0,12,7,18,4,14,12,0,12,0,46,3,5,117,19,253,18,23,36,9,51,49,0,96,40,12,669,1792,5,0,27,696,0,42,0,0,0,0,7,7,8,0,28,54,33,0,55,7,3,6,192,39,90,0,12,77,3,394,78,0,93,104,0,331,3,38,8,629,8,84,47,26,455,485,185,0,0,10,96,3,0,142,272,0,54,0,0,8409
Gosford - Springfield,0,11,3,0,3,3,12,0,0,0,0,6,150,83,0,51,74,20,34,0,24,22,58,66,123,49,209,74,0,161,0,21,37,27,206,100,394,44,107,98,51,88,118,5,76,337,23,385,1004,5,0,56,828,3,115,127,3,6,9,82,67,15,6,118,5,46,0,34,14,8,24,154,210,131,0,68,170,3,699,110,0,344,199,4,1649,5,367,21,686,157,127,351,2611,1110,342,563,3,19,32,85,9,0,402,369,0,138,5,0,17072
Kariong,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,22,4,46,0,0,3,0,6,0,0,0,5,16,26,25,0,0,10,27,0,16,0,0,0,0,5,0,0,0,4,5,5,0,7,0,0,0,0,0,4,0,3,19,0,56,15,0,14,22,0,33,0,155,10,161,0,24,0,0,39,50,147,0,0,4,3,0,0,10,25,0,10,0,0,1074
Kincumber - Picketts Valley,0,3,0,0,0,0,0,0,0,0,3,0,3,5,0,3,3,0,0,0,0,15,14,0,3,0,10,9,0,0,0,8,0,5,37,3,68,3,42,13,0,9,6,0,7,7,10,129,81,0,0,17,244,3,156,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,9,0,10,0,14,27,0,58,7,0,13,51,0,29,0,23,3,202,0,37,16,12,105,156,83,0,0,3,48,0,0,39,37,0,17,3,0,1947
Narara,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,4,29,0,3,0,0,0,4,0,3,0,0,3,13,0,0,0,9,0,13,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,3,5,0,0,3,0,28,16,0,6,14,0,8,0,0,3,216,0,5,0,0,15,20,45,0,0,4,0,0,0,5,20,0,4,0,0,559
Niagara Park - Lisarow,0,3,0,0,0,0,3,0,0,0,0,0,31,549,0,24,3,0,38,0,3,0,3,3,9,30,195,61,0,3,0,0,0,4,57,11,80,11,13,9,4,13,88,0,5,14,0,110,49,0,0,11,77,3,41,23,0,0,0,94,0,9,3,177,3,0,0,58,0,0,0,0,5,7,0,15,11,0,55,22,0,19,19,0,13,0,8,0,210,8,22,8,12,50,12,35,0,0,7,8,0,0,35,35,0,25,0,0,2585
Point Clare - Koolewong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,33,0,3,0,0,0,0,0,3,0,0,19,28,3,0,6,6,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,25,0,53,23,0,7,18,0,3,0,3,4,48,0,14,5,3,105,151,28,0,0,3,0,0,0,10,14,0,11,0,0,694
Saratoga - Davistown,0,4,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,4,0,0,5,3,3,0,0,0,0,0,0,37,5,54,0,3,3,0,0,8,0,3,0,0,29,25,0,0,0,76,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,4,0,7,15,0,43,23,0,7,15,0,5,0,6,0,28,3,3,0,3,16,9,8,0,0,3,0,0,0,10,19,0,10,3,0,558
Terrigal - North Avoca,0,3,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,3,3,0,4,3,0,0,0,0,4,3,0,0,0,0,0,0,75,5,139,4,7,5,6,4,12,0,14,4,11,36,112,0,0,188,384,0,12,0,0,0,0,51,3,0,0,15,3,0,0,0,3,0,4,28,3,23,0,3,130,0,163,22,0,31,42,0,18,0,10,4,258,4,27,7,3,126,20,71,0,3,20,22,0,0,10,91,4,25,4,0,2319
Umina - Booker Bay - Patonga,0,3,0,0,0,4,0,0,0,0,0,0,0,26,0,7,4,0,3,0,0,0,6,3,0,6,4,6,0,0,0,5,3,3,67,6,147,0,6,0,3,6,10,0,26,6,8,290,199,0,0,100,370,0,26,0,0,0,0,11,9,0,0,13,21,0,0,8,0,3,3,39,10,17,0,9,98,3,188,33,0,34,54,0,81,0,20,3,225,10,48,17,9,163,229,70,3,3,19,53,8,0,32,114,0,22,0,0,3033
Wamberal - Forresters Beach,0,17,0,4,0,5,0,0,0,0,0,3,3,3,0,3,0,0,6,0,0,0,0,3,3,0,3,4,0,3,0,3,0,10,69,10,119,0,22,0,0,8,11,3,3,0,14,21,57,0,0,27,122,0,8,0,3,0,0,4,0,0,0,3,3,0,0,7,0,0,4,0,0,11,0,7,34,0,116,16,0,17,28,0,8,0,4,4,149,7,12,7,0,62,10,78,0,0,7,14,0,0,13,47,0,21,0,0,1281
Woy Woy - Blackwall,0,6,0,0,3,0,0,0,0,0,0,0,8,27,0,5,10,0,0,0,6,0,0,3,7,9,12,5,0,3,0,3,3,0,52,14,107,4,11,3,7,12,4,0,28,18,23,314,399,3,0,36,370,3,28,13,0,0,0,8,7,5,0,3,0,3,0,12,0,0,0,47,9,14,0,16,53,0,119,37,0,58,35,0,171,0,39,4,236,12,48,36,288,181,193,173,0,0,8,34,5,0,112,74,0,25,0,0,3612
Wyoming,0,3,0,0,0,0,0,0,0,0,0,0,3,15,0,0,19,0,3,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,20,10,49,0,4,3,9,3,9,0,10,120,21,170,98,0,0,18,254,0,14,0,0,0,0,3,0,0,0,4,3,0,0,13,0,0,0,11,3,6,0,11,31,0,87,18,0,9,28,0,20,0,17,0,127,3,30,23,23,143,346,77,0,0,6,40,3,0,51,71,0,12,0,0,2080
Bateau Bay - Killarney Vale,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,3,0,0,7,0,3,0,0,0,0,0,11,4,0,0,0,9,3,3,45,3,124,3,0,3,3,16,9,0,14,6,12,399,388,3,0,27,394,0,138,0,0,0,0,6,0,0,0,3,0,0,0,6,0,0,3,70,22,17,0,9,68,0,109,13,0,42,59,0,45,0,29,0,183,10,24,25,63,169,444,160,0,0,9,22,0,0,35,87,0,16,0,0,3414
Blue Haven - San Remo,0,11,0,0,0,0,0,63,0,0,0,0,0,3,0,0,6,0,0,0,0,0,15,0,5,0,0,0,0,18,0,0,0,3,10,8,68,0,11,0,5,0,4,0,0,8,10,111,31,0,0,0,102,0,22,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,40,3,0,5,32,0,16,0,18,0,250,0,14,4,3,11,0,68,0,0,0,6,0,0,24,15,0,3,0,0,1056
Budgewoi - Buff Point - Halekulani,0,4,0,0,0,3,0,0,0,0,0,0,3,11,0,6,4,0,0,0,0,0,0,3,0,0,3,3,0,10,0,0,0,0,18,3,55,0,5,0,0,4,0,0,0,0,10,106,40,0,0,11,104,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,8,29,0,51,3,0,3,23,0,7,0,8,0,78,4,11,0,0,34,0,16,0,3,3,49,4,0,11,28,0,7,0,0,806
Chittaway Bay - Tumbi Umbi,0,9,0,0,0,0,3,0,0,0,0,0,94,759,0,11,82,16,13,3,82,9,27,48,78,66,158,33,0,3,0,0,14,5,76,14,195,7,27,65,8,24,16,4,10,16,3,94,86,0,0,5,368,0,172,0,0,0,0,13,5,9,0,5,4,3,0,16,5,0,0,0,3,10,0,28,28,0,115,31,0,45,64,0,13,0,36,3,232,3,43,24,136,70,131,109,0,3,14,34,0,0,116,62,0,34,6,0,4161
Gorokan - Kanwal - Charmhaven,0,3,0,0,0,0,0,0,0,0,0,0,0,47,0,3,0,5,3,0,0,0,5,0,0,0,0,3,0,0,0,0,3,4,40,10,118,0,3,0,12,3,6,0,30,23,24,402,613,0,0,22,504,7,61,0,0,3,0,7,4,0,3,6,0,0,0,15,0,0,4,82,16,22,0,11,81,0,102,11,0,69,46,0,95,0,8,0,284,4,20,67,110,142,298,98,3,0,11,36,10,0,31,86,0,19,0,0,3782
Jilliby - Yarramalong,0,93,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,34,0,0,0,3,0,0,0,0,0,3,0,30,11,57,0,10,6,0,0,3,0,0,3,4,3,9,0,0,3,67,0,18,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,0,0,28,3,0,12,16,0,9,0,0,3,17,0,9,0,0,9,4,31,0,0,3,12,0,0,9,7,0,6,0,0,567
Lake Munmorah - Mannering Park,0,15,0,5,0,4,0,123,0,0,7,5,8,0,0,0,3,3,3,0,0,0,3,3,0,0,8,0,0,289,0,0,5,3,32,11,89,0,18,0,3,3,0,0,3,0,21,28,48,3,0,40,51,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,28,0,40,9,0,19,25,0,8,0,21,0,210,4,3,4,3,40,9,25,0,3,4,9,0,0,23,29,0,13,0,0,1415
Ourimbah - Fountaindale,0,12,0,0,0,4,4,0,0,0,0,0,45,9,3,3,59,3,3,0,12,9,10,19,58,13,50,21,0,5,0,0,0,0,31,13,78,3,10,21,0,9,20,0,9,3,9,14,48,0,0,17,71,0,34,0,3,0,0,4,0,0,0,7,0,0,0,5,0,0,0,0,0,6,0,5,14,0,68,13,0,18,22,0,49,0,8,15,79,340,25,4,24,46,3,79,0,0,8,0,0,0,37,56,0,23,0,0,1688
Summerland Point - Gwandalan,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,32,4,0,0,0,0,3,0,0,0,11,14,20,0,0,3,30,0,13,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,0,18,0,0,0,7,0,12,0,0,0,44,0,5,3,0,7,0,3,0,0,0,27,0,0,9,15,0,11,0,0,375
The Entrance,0,0,0,0,3,0,0,0,0,0,0,0,4,9,0,3,6,0,0,0,0,0,0,3,3,3,0,7,0,3,0,7,0,6,54,5,105,6,13,7,4,26,3,3,30,15,10,136,227,0,0,226,435,4,32,0,0,0,0,8,3,0,0,0,9,0,0,3,0,0,3,35,14,13,0,10,99,0,137,6,0,53,48,0,87,0,129,6,207,7,29,5,28,121,21,66,0,0,10,39,3,0,74,105,0,18,0,0,2811
Toukley - Norah Head,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,3,3,0,3,0,0,0,0,0,0,0,8,0,0,89,0,6,0,0,32,4,80,5,5,0,0,3,0,0,12,10,4,129,148,0,0,54,197,0,8,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,4,19,3,17,0,5,53,0,99,3,0,18,19,0,27,0,53,0,110,0,21,27,17,195,173,91,4,0,3,31,0,0,38,80,0,14,0,0,1966
Tuggerah - Kangy Angy,0,32,0,0,5,3,5,5,0,0,0,8,94,50,0,12,69,10,27,0,7,8,28,51,182,14,35,41,0,122,0,7,17,17,161,35,286,35,78,170,18,43,126,4,64,133,26,381,1388,0,0,3,539,4,107,15,0,0,0,41,3,20,6,36,37,7,0,66,4,0,4,262,92,40,0,29,92,0,303,93,0,184,103,0,304,0,266,24,161,43,56,14,8,145,129,208,0,4,11,69,3,0,175,113,0,63,0,0,7691
Warnervale - Wadalba,0,14,0,0,0,0,0,0,0,0,0,0,37,120,57,20,119,7,10,0,0,3,35,13,21,19,15,10,0,0,0,15,0,3,62,4,120,3,17,25,28,59,16,0,24,3,6,364,164,0,0,9,151,0,212,0,0,0,3,60,0,111,0,4,0,0,0,5,0,0,0,3,4,9,0,11,8,0,68,16,0,6,59,0,115,0,57,6,439,18,31,70,755,178,202,265,0,0,0,16,0,0,82,43,0,19,0,0,4470
Wyong,0,4,0,3,0,10,8,13,0,0,4,14,98,51,0,3,20,28,13,0,55,63,37,39,63,42,202,8,0,4,0,41,21,0,98,32,105,9,40,23,13,12,14,3,18,46,34,118,103,4,0,68,343,0,77,54,0,0,0,6,0,9,0,0,0,0,0,50,6,0,0,13,4,12,0,13,87,0,152,11,0,126,47,0,838,0,87,7,336,130,20,46,119,115,43,236,0,4,3,75,0,0,75,75,0,42,7,0,4874
Bathurst,0,78,0,42,0,8,3,4,0,3,8,4,56,291,3,22,49,3,31,0,0,22,25,26,37,7,51,26,0,7,8,26,17,6,174,28,269,7,105,52,15,19,11,18,50,158,21,473,789,3,0,218,818,3,148,76,0,3,0,30,3,4,3,42,27,35,0,95,64,10,4,144,34,56,0,30,147,0,472,38,0,126,127,3,882,8,401,36,667,827,77,90,462,414,174,375,0,15,15,85,0,0,170,274,0,68,0,0,10863
Bathurst - East,0,38,0,12,0,5,0,0,0,0,6,0,59,635,0,10,42,0,0,3,3,7,13,16,27,79,19,3,0,263,4,4,3,4,49,27,154,6,26,13,3,29,12,0,10,23,10,45,178,3,0,39,57,3,151,15,0,8,0,73,6,15,0,0,0,0,0,14,0,0,0,0,3,0,0,21,0,0,56,13,0,26,50,0,24,0,11,6,296,11,20,4,3,22,109,91,0,0,0,0,0,0,96,27,0,29,3,0,3141
Bathurst Region,3,395,0,0,0,11,5,0,0,6,3,3,11,8,6,0,0,0,3,0,0,3,32,3,3,3,3,3,0,0,0,0,0,8,18,5,50,0,3,4,0,12,9,0,0,0,3,10,46,0,0,38,49,0,36,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,3,0,33,6,0,6,21,0,21,0,61,3,119,5,12,9,38,16,60,23,0,4,7,16,0,0,21,12,0,17,0,0,1320
Oberon,0,267,0,71,0,13,0,0,0,0,4,0,51,12,0,0,403,0,0,0,16,3,4,4,9,4,7,3,0,9,0,11,3,0,20,11,72,0,24,3,0,0,0,0,5,3,9,65,39,0,0,42,78,3,87,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,13,4,4,0,4,13,0,39,0,0,28,25,0,74,0,47,0,99,3,7,6,32,22,8,11,0,57,3,0,0,0,37,13,0,26,0,0,1945
Condobolin,0,840,0,0,0,23,6,0,0,31,0,0,28,18,0,4,12,4,8,0,0,6,5,18,30,7,7,20,0,21,0,13,3,0,22,10,45,7,24,27,3,9,0,6,16,17,25,102,79,0,0,33,103,0,47,0,0,0,0,14,4,14,0,3,0,0,0,0,0,3,0,13,3,3,0,0,5,0,47,0,0,8,23,0,127,0,16,5,255,14,17,52,67,62,61,85,0,0,3,8,0,0,39,26,0,23,6,0,2714
Cowra,4,147,0,0,0,12,0,0,3,0,0,0,27,155,3,20,10,0,0,0,3,0,17,15,16,19,41,63,0,28,0,14,3,0,38,12,86,0,44,43,8,24,6,17,28,55,9,147,252,3,0,52,219,0,91,0,0,3,0,24,3,4,0,12,3,0,0,6,0,0,0,47,10,3,0,8,35,0,91,4,0,34,24,0,187,3,12,3,258,38,21,28,88,97,153,155,0,3,4,19,0,0,87,62,0,29,5,0,3326
Cowra Region,3,676,0,0,0,5,0,0,0,0,3,0,7,28,12,0,0,0,0,0,0,0,0,0,5,0,7,0,0,13,0,4,0,0,19,7,31,0,32,7,0,11,0,0,0,3,3,34,44,0,0,11,62,0,33,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,3,0,0,0,0,6,0,27,0,0,3,10,0,12,0,3,3,111,3,14,12,40,27,49,37,0,4,3,8,0,0,19,14,0,7,4,0,1506
Forbes,0,686,0,9,0,26,0,0,0,0,5,0,27,45,0,22,12,0,3,0,21,0,8,8,24,18,20,0,0,25,0,7,5,0,46,15,103,6,85,10,17,6,6,25,27,53,18,152,164,0,0,46,177,3,90,0,0,0,0,24,6,8,0,12,0,3,0,3,0,0,0,41,10,7,0,12,16,0,186,4,0,24,30,0,144,0,28,12,331,14,25,41,88,69,115,155,0,10,0,14,0,0,76,51,0,38,3,0,3624
Grenfell,3,463,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,11,0,0,5,0,7,10,30,0,25,0,0,3,0,0,5,4,13,39,41,0,0,11,32,0,21,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,0,34,0,0,4,3,0,53,0,3,0,107,3,3,13,36,12,9,31,0,0,0,3,0,0,15,22,0,12,0,0,1140
Parkes (NSW),3,82,0,0,0,4,13,0,0,102,8,15,40,17,0,0,6,0,0,0,4,15,12,23,26,48,25,11,0,15,7,8,0,11,40,46,128,3,56,45,5,23,3,10,27,63,28,195,326,0,0,111,243,0,103,95,0,0,0,28,6,23,0,10,7,3,0,12,0,0,0,49,7,10,0,20,31,0,118,3,0,62,37,0,329,0,67,3,268,23,13,41,85,114,162,148,0,3,0,10,0,0,135,66,0,24,3,0,3960
Parkes Region,0,511,0,0,0,5,13,0,0,226,4,3,4,0,0,0,0,0,0,0,4,0,4,6,0,0,10,0,0,31,0,0,0,4,7,6,22,0,11,10,0,0,0,0,3,0,4,9,10,3,0,18,28,0,34,0,0,0,0,11,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,43,0,0,9,11,0,13,0,10,3,101,0,0,14,26,11,13,9,0,0,0,4,0,0,19,6,0,16,0,0,1332
West Wyalong,3,684,0,0,0,14,5,0,0,289,6,6,9,11,0,4,3,0,0,0,10,3,3,6,9,3,22,0,0,7,0,5,0,0,19,14,63,0,32,13,0,22,3,3,14,29,16,75,99,0,0,48,112,0,97,13,0,0,0,12,0,20,0,4,0,0,0,3,0,0,0,15,3,4,0,3,8,0,64,0,0,10,18,0,139,0,14,3,160,16,5,14,21,35,23,53,0,3,3,8,0,0,60,31,0,19,0,0,2538
Lithgow,0,7,0,0,0,0,9,41,0,0,3,7,20,70,5,9,14,6,35,0,4,12,20,3,136,8,22,12,0,47,0,6,17,7,24,20,128,10,12,8,3,46,21,3,20,61,16,223,321,0,0,65,369,0,111,116,0,0,3,24,5,4,0,7,3,10,0,6,0,3,0,50,66,3,0,25,29,0,143,4,0,130,32,0,340,13,310,5,327,66,26,33,192,195,141,167,0,3,12,19,0,0,89,102,0,21,0,0,4688
Lithgow Region,0,178,0,0,0,0,8,993,0,3,22,11,21,16,0,0,7,0,0,0,16,3,9,11,14,3,19,0,0,301,0,9,5,4,26,41,94,3,16,3,0,13,4,0,5,0,6,31,41,0,0,107,89,0,71,3,0,3,7,5,0,0,0,3,0,0,0,3,0,5,0,4,0,0,0,8,7,0,48,9,0,24,38,0,28,0,19,3,104,0,13,9,12,14,20,16,0,3,11,6,0,0,54,3,0,11,4,0,2727
Mudgee,4,93,0,0,0,11,11,52,0,0,3,15,29,47,46,8,17,4,3,0,3,3,11,24,25,8,28,3,0,38,0,15,13,3,92,35,200,9,89,26,0,34,11,14,19,97,42,230,364,0,0,166,376,0,73,10,0,10,0,26,7,0,0,18,3,6,0,21,9,6,0,55,14,13,0,20,61,0,215,11,0,53,35,0,216,0,66,4,320,47,28,38,110,130,184,184,0,11,0,18,0,0,157,96,0,31,0,0,4631
Mudgee Region - East,0,191,0,0,0,6,3,129,0,0,11,4,11,7,9,0,0,0,0,0,0,0,61,4,4,0,0,0,0,4,0,3,0,0,12,3,23,0,3,0,0,0,0,0,3,0,12,42,37,0,0,9,68,0,26,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,10,3,4,0,3,13,0,25,3,0,5,10,0,24,0,0,0,103,0,0,8,33,16,16,17,0,0,0,5,0,0,18,6,0,14,0,0,1032
Mudgee Region - West,0,670,0,0,0,16,21,895,0,19,21,32,17,25,58,0,3,0,3,0,11,3,12,8,9,3,5,3,0,23,0,3,3,8,32,14,117,0,34,0,0,3,0,10,14,3,20,86,68,7,0,45,94,0,55,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,8,0,8,0,0,18,0,53,8,0,8,29,0,23,0,12,3,170,3,18,13,22,32,26,26,0,6,5,9,0,0,46,17,0,25,0,0,3074
Wollangambe - Wollemi,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Blayney,0,338,0,3,0,9,16,0,0,414,0,11,21,213,3,0,10,0,0,0,3,0,26,8,15,0,0,0,0,9,0,19,5,7,40,23,110,0,29,4,0,49,3,4,9,6,8,68,44,0,0,39,74,0,68,3,0,0,0,16,0,11,0,3,0,0,0,0,0,0,0,14,3,5,0,9,18,0,77,0,0,32,21,0,63,0,16,3,164,3,13,9,35,22,44,31,0,0,4,10,0,0,48,50,0,21,0,0,2449
Orange,3,64,0,0,3,11,46,4,0,238,4,98,99,89,15,25,69,3,12,0,14,13,15,77,79,45,612,13,0,134,0,0,9,11,153,60,379,16,64,152,40,54,46,7,47,161,39,566,1102,3,0,200,784,8,311,8,0,26,0,92,33,29,0,57,19,52,0,20,3,5,11,229,56,68,0,38,189,0,630,41,0,186,136,6,1041,0,174,25,953,344,85,218,1071,784,406,453,0,4,9,66,3,0,320,294,0,100,3,0,14278
Orange - North,0,25,0,0,0,3,12,0,0,26,0,13,32,7,6,3,12,0,12,3,4,14,8,11,24,10,23,8,0,0,0,0,28,5,99,14,194,3,43,8,17,11,15,0,8,63,0,14,46,3,0,14,58,0,110,0,0,0,0,8,0,20,0,3,0,0,0,0,12,0,0,3,4,8,0,8,13,0,103,12,0,21,38,0,32,21,24,4,117,139,20,11,8,81,70,168,0,0,4,7,0,0,147,24,0,26,0,0,2198
Orange Region,3,900,0,3,0,21,57,3,0,561,15,92,37,219,85,6,4,3,0,7,22,0,25,45,34,4,10,4,0,13,0,7,8,15,39,53,174,4,25,26,0,17,4,3,13,4,9,43,47,0,0,28,79,3,70,0,0,9,0,8,3,0,0,8,0,0,0,3,0,0,0,11,6,4,0,12,7,0,125,14,0,66,36,0,157,0,19,7,185,11,20,23,46,35,33,43,0,6,8,10,0,0,91,29,0,38,3,0,3926
Grafton,3,86,0,38,0,11,0,0,0,0,5,0,46,172,3,15,344,4,12,0,3,0,42,28,32,7,24,16,3,158,3,3,24,9,66,53,269,13,121,28,27,49,14,0,46,109,37,415,790,3,0,126,590,0,243,55,0,0,3,48,0,4,0,31,8,5,0,47,4,0,9,117,29,40,0,27,83,0,264,15,0,94,81,0,842,3,347,9,633,101,76,55,424,338,309,504,0,26,0,59,0,0,233,163,0,48,4,0,9231
Grafton Region,3,450,7,13,7,7,0,6,0,0,10,8,17,8,0,11,103,0,3,0,3,4,3,3,3,3,0,8,0,3,0,3,4,0,58,19,118,3,32,3,5,13,0,0,11,4,25,19,33,3,0,62,76,3,43,0,3,3,0,5,3,0,0,4,0,0,0,5,0,0,3,0,3,0,0,3,18,0,52,15,0,12,31,0,17,0,36,0,163,3,22,3,0,8,28,35,0,0,13,11,0,0,30,15,0,23,4,0,1782
Maclean - Yamba - Iluka,0,102,15,0,47,8,0,0,0,0,7,0,11,179,0,6,6,0,8,0,3,5,11,8,16,57,6,12,0,11,0,7,14,9,99,25,171,7,50,20,3,51,14,0,27,38,31,303,351,0,0,186,426,0,103,0,6,0,3,34,11,0,0,15,3,0,0,4,0,0,0,54,10,7,0,19,125,0,158,21,0,38,77,0,203,0,24,7,332,20,42,30,115,145,234,101,0,4,6,48,0,0,88,123,0,23,3,0,4614
Bellingen,3,92,0,0,0,0,0,0,0,0,0,0,9,23,3,10,43,0,3,0,3,0,0,0,0,0,35,5,0,0,0,3,0,0,20,4,44,0,11,3,0,10,10,0,8,5,3,94,84,0,0,40,117,0,23,0,0,0,0,4,3,0,0,7,3,0,0,0,0,0,3,16,3,4,0,4,25,0,85,17,0,13,30,0,97,0,4,9,173,8,16,22,66,72,85,54,0,0,6,10,0,0,23,30,0,18,7,0,1637
Coffs Harbour - North,0,83,0,10,3,4,0,0,0,0,9,0,33,28,7,8,23,3,8,0,3,12,20,4,37,13,15,15,0,6,0,19,5,4,116,32,254,8,35,36,14,27,52,0,38,99,29,313,879,3,0,293,479,3,46,0,0,0,0,21,0,3,0,6,25,3,0,22,0,0,3,63,9,12,0,39,38,0,119,22,0,32,77,0,442,0,17,5,420,29,55,18,170,188,129,146,0,0,8,48,3,0,191,148,0,27,3,0,5702
