INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalgoorlie Airport,0,0,0,0,0,0,6,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Kambalda - Coolgardie - Norseman,0,51,0,0,0,0,55,5,0,1802,39,328,18,3,0,0,0,0,0,0,3,0,3,120,0,0,9,0,0,24,0,0,3,21,10,65,46,0,15,3,0,0,3,0,0,0,37,58,15,0,0,67,69,4,57,42,0,0,0,9,0,5,0,0,0,0,0,0,0,4,0,13,0,0,0,4,8,0,26,5,0,27,17,0,94,0,24,3,128,0,3,0,21,16,9,16,0,3,0,0,0,0,26,10,0,62,54,0,3568
Leinster - Leonora,0,10,0,0,0,19,83,91,6,2921,58,846,9,0,0,0,0,0,0,0,21,34,0,117,0,25,21,0,0,12,3,0,6,9,15,46,70,0,0,7,0,4,0,0,5,0,21,30,14,0,0,35,126,0,42,6,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,0,56,3,0,79,83,4,140,13,44,3,132,0,6,13,23,73,4,24,0,0,6,0,0,0,51,59,0,63,39,0,5675
Trafalgar (WA),0,0,0,0,0,0,6,0,0,689,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,5,0,763
Geraldton,0,58,12,0,94,17,27,0,3,79,0,24,50,81,9,7,4,0,13,3,11,20,13,34,86,41,53,21,0,8,14,56,28,37,199,47,498,12,110,72,51,70,16,10,43,163,34,497,844,3,7,173,785,12,246,19,48,4,4,75,129,62,0,16,31,14,0,24,10,13,3,130,38,79,0,65,159,9,431,50,0,105,189,0,571,6,272,21,808,227,53,44,703,517,319,401,0,37,19,58,14,0,353,233,0,373,106,0,11622
Geraldton - East,0,25,0,0,17,3,19,0,3,131,20,6,7,3,0,0,0,0,0,0,0,0,3,11,6,16,19,3,0,43,0,0,10,11,32,65,204,0,11,27,0,0,0,0,3,0,8,32,24,0,0,0,20,11,179,106,0,25,0,8,23,6,0,0,0,3,0,4,0,0,0,0,0,0,0,4,5,0,52,3,0,25,35,0,43,0,161,3,312,8,21,6,0,57,0,46,0,0,0,10,0,0,64,26,0,82,16,0,2159
Geraldton - North,0,20,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,21,8,69,0,0,0,0,0,0,0,0,0,17,68,17,0,0,19,11,6,25,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5,0,25,6,0,10,27,0,22,0,5,0,87,0,5,0,0,12,7,15,0,0,4,0,0,0,9,16,5,34,10,0,622
Geraldton - South,0,0,0,0,33,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,6,60,0,0,0,0,5,0,0,0,0,12,40,17,0,4,46,26,0,10,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,27,3,0,7,17,0,0,0,0,6,104,0,7,0,0,15,0,44,0,0,0,0,5,0,3,26,0,28,9,0,642
Irwin,0,89,3,0,34,9,5,0,7,6,0,22,5,11,0,0,0,0,0,0,3,0,13,0,0,15,4,0,0,0,5,0,0,4,38,11,70,0,7,0,0,0,0,0,0,3,16,58,28,0,0,62,58,7,19,0,0,0,10,11,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,37,3,0,14,27,0,42,0,7,0,68,0,8,10,16,16,4,9,0,0,0,6,0,0,22,14,0,28,19,0,1041
Meekatharra,0,118,0,0,0,4,59,15,5,1626,12,522,6,5,0,0,0,0,0,0,10,0,0,178,0,0,7,0,0,10,0,0,0,12,5,77,75,0,3,6,0,0,0,0,4,0,24,17,6,0,0,42,90,0,28,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,31,0,0,28,52,0,122,0,27,3,117,4,7,7,36,44,4,12,0,6,0,0,0,0,18,13,0,70,50,0,3653
Morawa,4,667,0,0,18,26,13,3,3,377,27,45,0,0,0,0,0,0,0,0,3,8,0,0,0,0,36,0,0,9,0,6,0,9,5,40,56,0,22,20,0,0,0,3,3,3,15,33,25,0,0,23,56,6,80,0,0,4,0,9,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,20,5,0,12,11,0,136,0,12,3,187,6,7,7,29,23,15,25,0,0,0,3,0,0,32,6,0,63,16,0,2314
Northampton - Mullewa - Greenough,3,694,3,0,33,28,3,0,0,28,23,6,0,16,0,0,0,0,0,0,6,0,12,3,4,7,10,3,0,11,0,0,0,7,15,15,57,0,10,0,0,0,0,3,4,4,17,73,46,0,0,119,106,0,40,7,0,0,8,8,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,3,17,0,20,25,0,33,23,0,74,4,34,0,162,3,16,14,49,32,5,17,0,13,9,7,0,0,32,31,0,66,16,0,2156
Migratory - Offshore - Shipping (WA),0,4,3,0,60,0,13,0,410,26,3,147,6,5,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,39,0,3,27,4,124,27,3,11,4,0,0,0,0,0,0,0,0,5,0,0,0,58,7,14,0,172,4,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,45,0,0,39,7,0,8,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,218,18,0,1598
POW No Fixed Address (WA),17,636,16,94,200,439,205,67,301,2757,49,553,91,176,71,16,35,11,27,3,95,29,99,105,109,85,95,64,13,135,53,73,121,701,5351,966,13734,39,178,174,34,101,194,30,127,82,43,416,789,45,0,80,674,135,1846,63,151,121,63,480,430,77,16,62,66,42,0,293,43,3,12,104,61,62,0,98,211,9,1621,219,4,825,4362,5,384,108,581,70,731,144,688,150,176,782,1053,1324,23,24,260,214,29,3,1197,1138,35,2455,724,0,54378
Bridgewater - Gagebrook,0,11,0,0,0,0,0,0,0,0,9,0,8,3,4,0,23,0,0,0,0,9,6,11,3,0,3,0,0,0,5,3,0,10,9,21,59,4,24,15,9,10,8,6,8,0,0,168,48,0,0,0,139,13,181,27,4,0,0,19,72,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,5,0,42,14,0,70,0,51,3,226,0,15,0,0,15,3,60,0,0,0,15,0,0,20,40,0,39,24,0,1622
Brighton - Pontville,0,25,0,4,0,5,0,0,0,0,0,0,12,11,7,0,3,0,0,0,3,0,0,19,4,0,0,0,0,0,6,0,0,18,25,35,65,0,3,10,6,0,0,0,0,4,8,28,20,0,0,13,39,8,94,0,0,0,0,10,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,20,3,0,7,24,0,5,4,9,6,72,0,8,0,0,17,0,54,0,21,0,25,0,0,39,16,0,14,4,0,870
Old Beach - Otago,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,3,46,0,0,0,0,0,0,0,3,0,0,5,4,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24,0,0,7,8,0,0,0,0,0,0,0,4,0,0,3,113,18,0,0,0,0,0,0,0,9,0,8,0,0,347
Bellerive - Rosny,0,3,0,0,8,0,0,0,0,0,0,0,0,51,0,0,5,0,0,0,0,0,0,6,0,0,6,0,0,3,0,4,0,3,40,0,80,0,0,5,0,0,0,0,13,16,10,443,546,3,0,8,443,0,0,0,0,0,5,4,0,0,0,0,19,0,0,17,0,12,9,68,24,53,0,0,119,0,131,8,0,61,44,0,447,3,145,8,371,11,29,8,7,313,48,85,0,21,7,168,8,0,39,108,0,59,28,0,4199
Cambridge,3,113,33,0,20,9,0,0,0,4,0,0,47,170,72,3,15,0,0,0,6,0,13,8,8,12,0,16,3,294,0,0,98,29,117,30,300,0,30,20,5,48,8,0,32,11,17,82,291,0,3,82,169,13,63,0,0,136,9,9,135,19,0,0,0,0,0,8,7,0,0,5,5,6,0,110,13,0,286,19,0,166,35,0,28,0,99,3,131,10,19,0,9,29,5,88,0,7,5,34,0,0,63,43,0,106,22,0,3996
Geilston Bay - Risdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,22,0,3,0,4,0,0,0,0,4,4,22,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,4,0,3,11,0,3,0,9,0,42,0,5,0,3,6,3,12,0,0,4,0,0,0,7,4,0,3,3,0,268
Howrah - Tranmere,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,26,5,66,0,3,6,0,0,0,0,3,0,9,177,60,0,0,31,61,0,8,0,0,0,0,9,3,0,0,0,4,0,0,0,0,0,0,4,3,11,0,3,34,6,53,12,0,0,25,0,10,0,3,0,157,3,22,0,0,51,0,67,0,0,3,6,0,0,9,41,0,19,4,0,1059
Lindisfarne - Rose Bay,0,0,0,0,3,0,0,0,0,3,3,0,0,28,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,4,27,4,42,0,0,0,0,0,5,0,3,3,3,98,46,4,0,11,56,0,12,0,0,0,0,7,6,0,0,6,0,0,0,0,0,0,0,3,0,10,0,3,23,0,46,3,0,6,21,0,17,0,28,4,213,9,21,7,8,80,376,81,0,0,4,4,0,0,8,38,0,17,8,0,1438
Mornington - Warrane,0,4,0,0,3,0,0,0,0,0,0,0,3,12,0,10,31,0,0,0,0,0,4,19,9,3,0,9,0,27,0,0,28,11,55,12,305,3,37,3,3,0,0,0,4,6,0,17,69,0,0,11,39,0,20,0,0,0,0,148,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,10,4,0,36,3,0,18,17,0,55,6,51,0,157,171,25,5,4,10,185,137,0,3,0,27,0,0,70,90,0,91,23,0,2120
Risdon Vale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,39,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,22,0,16,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,97,3,295,0,36,0,0,5,13,19,0,11,0,0,0,0,0,0,3,24,0,4,4,0,642
Rokeby,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,5,0,11,0,0,0,0,0,0,16,0,35,0,14,5,0,22,0,0,0,0,3,17,20,0,0,0,21,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,18,0,12,0,75,0,174,15,10,0,50,18,14,50,0,0,0,5,0,0,10,14,0,19,3,0,742
South Arm,0,5,43,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,5,45,0,0,0,0,0,0,0,0,0,0,5,11,0,0,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40,3,0,0,11,0,0,3,4,0,16,3,4,0,0,4,0,0,0,0,9,4,0,0,10,10,0,13,3,0,346
Austins Ferry - Granton,0,21,0,4,0,3,0,0,0,0,0,0,11,0,17,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,15,75,46,0,4,3,0,0,0,0,0,0,7,17,5,0,0,4,24,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,16,0,0,0,19,0,0,0,0,0,99,3,0,0,0,0,0,26,0,0,5,0,0,0,9,8,0,22,3,0,512
Berriedale - Chigwell,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,24,0,0,19,0,0,0,0,9,0,3,13,15,0,0,16,60,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,3,0,9,12,0,11,0,4,0,14,0,0,0,0,4,52,42,4,200,3,4,0,0,13,17,0,20,11,0,665
Claremont (Tas.),0,3,0,0,0,0,0,0,0,0,0,0,6,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,8,45,0,7,0,0,3,0,0,3,0,17,146,41,0,0,4,135,0,9,0,0,0,0,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,7,0,13,0,0,16,20,0,3,0,3,0,282,14,4,0,0,29,75,85,0,0,4,14,0,0,12,26,0,43,17,0,1630
Derwent Park - Lutana,0,4,5,0,6,6,7,0,0,61,3,0,61,45,0,8,9,0,53,0,59,31,19,466,30,473,51,14,0,3,0,7,32,39,62,119,312,17,41,49,37,55,67,0,29,142,0,30,170,0,0,18,137,22,251,0,11,249,3,99,5,38,0,41,0,0,0,67,10,0,0,9,9,0,0,30,4,0,63,16,0,58,52,0,256,60,45,3,73,14,20,9,4,51,6,181,4,3,0,31,73,0,146,41,0,194,49,0,5083
Glenorchy,0,11,0,0,0,0,0,0,0,0,5,0,12,139,0,13,68,0,25,0,9,0,6,6,10,3,3,27,0,0,0,3,28,20,50,68,197,0,30,3,13,54,19,0,24,14,13,381,607,0,0,23,238,4,74,3,0,3,9,25,10,12,0,5,19,0,0,20,3,15,3,69,3,5,0,7,61,0,70,11,0,59,51,0,337,0,88,14,346,14,24,20,8,162,290,243,14,11,9,101,14,0,69,93,0,128,60,0,4739
Montrose - Rosetta,0,16,0,0,0,0,0,0,0,0,0,0,6,8,0,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19,7,85,0,10,8,4,0,4,0,0,0,7,14,26,0,0,22,21,3,38,0,0,0,0,8,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,25,0,37,7,0,13,74,0,5,0,4,0,97,0,4,3,0,3,83,26,0,0,0,0,0,0,13,10,0,20,9,0,784
Moonah,0,5,0,0,6,6,0,0,0,0,0,0,21,71,20,37,23,4,70,0,23,15,32,14,38,29,20,9,0,0,18,319,4,55,80,34,262,14,58,20,43,38,42,22,40,101,15,136,374,0,0,15,295,16,430,0,0,0,0,31,88,22,0,0,0,0,0,20,0,0,3,31,3,20,0,14,16,0,152,13,0,118,123,0,32,0,56,3,125,14,16,15,9,287,88,382,0,5,6,23,9,0,215,110,0,182,48,0,5175
New Norfolk,0,10,6,53,3,5,0,0,0,0,0,0,3,22,0,0,3,297,0,0,5,5,0,0,0,0,3,0,0,8,0,0,0,9,18,7,44,0,15,0,0,0,0,0,4,6,13,131,77,0,0,11,111,4,46,0,0,0,0,16,4,0,0,0,0,0,0,3,0,3,0,15,0,0,0,11,11,0,18,0,0,13,32,5,101,0,15,0,177,0,6,11,33,59,92,99,0,0,0,6,0,0,24,22,0,51,31,0,1783
West Moonah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,3,0,0,7,4,0,0,3,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,4,0,3,0,0,4,71,0,0,0,0,7,11,19,0,0,0,0,0,0,4,3,0,12,0,0,209
Kingston - Huntingfield,0,22,0,0,9,0,0,0,0,0,14,0,24,47,0,4,34,12,9,0,4,0,6,16,57,7,34,12,0,5,0,10,0,30,183,28,259,4,92,10,0,6,5,0,15,25,13,397,484,3,0,6,355,0,33,0,6,0,4,41,3,4,0,0,3,0,0,4,0,14,0,43,3,15,0,10,34,0,329,24,0,24,63,0,302,0,40,0,399,14,62,6,0,160,124,145,0,0,9,67,0,0,90,121,0,104,40,0,4612
Kingston Beach - Blackmans Bay,0,5,15,0,8,0,0,0,0,0,0,3,0,16,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,10,5,9,58,0,91,0,0,5,0,9,0,0,6,0,8,45,31,7,0,18,97,0,4,0,4,0,0,6,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,32,0,85,18,0,6,18,0,12,0,0,4,151,3,25,3,0,51,53,125,0,0,14,0,0,0,26,36,0,31,9,0,1202
Margate - Snug,3,37,152,8,11,5,3,0,0,0,0,0,26,66,3,3,9,3,3,0,0,0,12,9,25,29,3,9,0,4,0,0,18,23,43,27,90,0,8,0,3,17,0,0,3,0,14,42,33,0,0,22,73,3,26,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,13,0,55,15,0,7,18,0,8,0,0,3,128,3,16,0,3,39,65,15,0,3,5,7,0,3,35,28,0,47,6,0,1410
Mount Wellington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,31,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,62,20,0,8,11,0,11,0,0,3,150,64,8,0,0,18,99,10,0,0,14,5,0,0,5,11,0,13,6,0,616
Hobart,0,39,123,104,19,20,0,0,0,0,0,0,13,175,43,33,22,8,58,0,3,13,12,4,3,12,29,41,0,519,0,14,24,63,503,70,488,13,40,116,89,102,119,11,99,410,34,443,2195,29,11,859,2591,25,79,6,27,3,57,71,111,15,12,172,120,219,0,676,35,88,12,714,586,588,0,81,420,21,2814,496,0,621,261,18,6235,120,1056,71,1018,965,177,96,3247,1787,252,887,17,173,193,141,26,0,344,916,4,488,266,0,36448
Lenah Valley - Mount Stuart,0,21,5,0,0,0,0,0,0,0,0,0,5,28,3,0,0,0,6,0,0,4,0,0,0,0,0,4,4,221,0,0,0,7,19,0,47,0,0,0,0,0,0,0,0,0,4,27,34,0,0,5,43,0,3,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,3,6,8,0,0,6,4,72,8,0,4,12,0,26,0,0,0,135,8,14,12,494,213,24,89,0,0,5,3,0,0,14,29,0,29,8,0,1752
Mount Nelson - Dynnyrne,0,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,5,0,0,0,0,23,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,8,0,0,0,0,0,0,54,8,0,7,10,0,15,0,0,3,261,5,12,0,0,13,0,9,0,0,6,0,0,0,0,13,0,4,3,0,562
New Town,0,0,0,0,3,4,0,0,3,8,0,0,0,28,0,3,0,0,4,0,0,0,0,15,0,0,0,7,0,188,7,18,0,3,28,4,101,0,37,5,0,7,4,0,5,4,17,239,208,0,0,33,86,0,24,0,0,0,0,9,5,3,0,3,0,0,0,3,0,0,0,10,0,5,0,15,12,3,115,18,0,13,40,0,397,0,17,9,427,17,20,16,33,214,399,347,0,0,12,42,0,0,13,274,0,71,47,0,3719
Sandy Bay,0,9,0,0,7,3,0,0,3,0,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,8,6,0,0,6,0,0,0,3,72,3,53,0,13,8,0,7,0,0,15,0,21,322,207,0,0,242,441,0,7,0,0,0,0,20,6,4,0,6,13,3,0,44,0,0,0,43,9,29,0,5,77,0,219,57,0,33,62,0,20,4,9,9,477,1511,31,8,0,249,156,86,0,6,22,21,388,0,11,135,4,84,54,0,5426
South Hobart - Fern Tree,0,11,0,0,4,0,0,0,0,7,0,0,5,6,57,3,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,13,5,45,0,41,0,9,4,0,0,0,0,4,0,5,42,25,4,0,39,66,3,9,0,0,0,0,10,0,0,0,5,0,0,0,0,6,0,0,0,23,7,0,4,8,0,97,21,0,21,10,0,41,4,3,6,86,9,13,8,208,195,150,67,3,11,17,3,0,0,7,45,0,43,8,0,1543
West Hobart,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,23,0,47,0,0,0,0,0,3,0,4,4,0,85,24,0,0,40,79,0,6,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,3,7,3,0,0,11,3,62,14,0,4,8,0,14,0,8,4,73,11,17,3,9,40,4,26,0,0,23,0,6,0,8,9,0,23,3,0,747
Dodges Ferry - Lewisham,0,68,26,0,9,0,0,0,0,0,5,0,0,23,6,0,11,0,3,0,0,0,3,0,0,6,0,0,0,0,0,3,10,0,23,7,81,0,0,0,0,0,0,0,10,0,3,32,21,5,0,5,50,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,0,29,6,0,3,23,0,3,0,4,3,70,4,0,0,0,10,0,39,0,0,3,9,0,0,9,13,0,25,6,0,735
Sorell - Richmond,3,172,5,7,6,6,0,0,0,7,0,0,14,199,32,3,6,0,3,0,0,0,0,0,0,3,0,3,0,0,0,14,3,9,52,8,86,0,30,0,0,5,0,0,16,3,18,230,137,0,0,20,235,9,53,0,0,0,0,11,4,0,0,5,0,0,0,9,0,0,0,17,14,3,0,6,32,0,53,11,0,24,31,0,80,0,21,4,192,4,6,7,0,85,102,73,0,11,12,16,0,0,24,47,0,56,14,0,2359
Invermay,0,18,0,10,0,4,3,0,0,0,8,0,28,146,5,14,23,0,21,3,14,4,32,59,32,27,8,56,0,6,7,16,59,20,90,25,230,7,61,44,18,10,36,13,39,133,16,29,343,0,0,4,190,14,102,0,3,0,0,17,9,4,0,0,3,0,0,4,0,0,0,0,4,4,0,30,22,0,89,7,0,32,63,0,15,0,29,7,118,67,4,0,0,37,6,59,0,41,10,26,4,0,159,33,0,127,39,0,3085
Kings Meadows - Punchbowl,4,17,0,26,0,12,0,0,3,0,0,0,14,90,0,0,6,3,13,0,3,8,0,22,22,5,3,3,0,0,0,0,5,13,38,5,125,10,13,23,32,108,25,4,18,84,6,334,252,0,7,5,283,4,26,75,0,0,0,13,0,15,0,0,0,9,0,8,3,0,0,301,3,9,0,7,8,0,61,4,0,19,28,0,131,0,3,0,102,7,12,3,17,83,188,61,0,0,0,27,5,0,62,119,0,71,29,0,3134
Launceston,0,20,4,33,0,24,0,0,0,0,0,5,22,103,76,11,23,3,38,0,11,0,10,10,12,15,31,15,0,24,3,116,14,11,75,13,230,10,67,24,13,24,20,0,75,257,39,432,1484,3,9,357,1242,19,137,0,9,0,9,70,98,4,0,96,30,36,0,109,0,21,4,385,185,203,0,33,316,0,1058,126,0,267,113,5,1096,4,320,25,352,103,62,62,1856,1019,141,506,4,23,39,123,9,0,152,378,0,266,152,0,15054
Legana,0,25,0,0,0,4,0,0,0,0,0,0,3,27,7,0,5,0,0,0,0,0,0,3,0,6,0,9,0,0,0,0,0,6,37,3,68,3,6,3,0,14,9,0,3,10,4,101,33,0,0,9,56,3,34,0,0,0,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,21,0,0,10,8,0,0,0,0,0,0,4,5,0,0,28,104,28,0,0,0,0,0,0,20,27,0,25,13,0,815
Mowbray,0,3,0,0,0,5,0,0,0,4,5,0,7,13,0,0,14,44,0,0,0,0,4,0,8,7,0,0,0,0,0,0,43,10,4,57,43,0,25,10,4,0,6,0,11,3,3,224,104,0,0,3,188,4,34,0,0,0,0,5,3,0,0,0,0,0,0,8,0,0,0,36,0,0,0,9,0,0,53,0,0,16,14,0,72,0,0,3,182,4,6,5,0,41,13,31,0,3,0,26,0,0,18,46,0,38,23,0,1583
